insured_id,full_name,birth_date,driver_age,profession,annual_income,region
INS_000001,Alexandre Traore,1962-09-22,32,artisan,44500.0,Île-de-France
INS_000002,Daniel Gallet-Henry,1988-01-12,61,artisan,36500.0,Provence-Alpes-Côte d'Azur
INS_000003,Aurore Maury-Briand,1947-05-27,19,commerçant,51400.0,Île-de-France
INS_000004,Franck Rey,1977-03-27,50,enseignant,35300.0,Grand Est
INS_000005,Roger Philippe,1990-07-05,52,commerçant,44900.0,Nouvelle-Aquitaine
INS_000006,Paulette Vasseur-Pons,1982-07-10,55,retraité,30200.0,Auvergne-Rhône-Alpes
INS_000007,Édouard Rocher,1972-01-09,45,cadre supérieur,70700.0,Nouvelle-Aquitaine
INS_000008,Denis-Franck Ledoux,1966-08-09,31,chauffeur,22500.0,Bourgogne-Franche-Comté
INS_000009,Laurent Pereira,1968-01-06,40,médecin,99600.0,Normandie
INS_000010,Julie Bertrand,1991-05-16,69,fonctionnaire,39700.0,Île-de-France
INS_000011,Chantal Hoareau-Chevalier,1980-03-06,42,retraité,8000.0,Île-de-France
INS_000012,Maryse Verdier de la Fischer,1949-10-12,71,infirmier,27000.0,Grand Est
INS_000013,William Chevalier-Rey,1999-12-27,20,chef d'entreprise,23600.0,Grand Est
INS_000014,Laurence De Sousa,1985-06-12,23,infirmier,26400.0,Normandie
INS_000015,Corinne Lemaître,1967-10-13,71,artisan,25400.0,Nouvelle-Aquitaine
INS_000016,Zacharie-Tristan Guérin,1983-10-10,40,chef d'entreprise,87600.0,Auvergne-Rhône-Alpes
INS_000017,René Chauveau,1960-10-27,22,fonctionnaire,31400.0,Grand Est
INS_000018,Monique Dupuy,2007-09-27,52,sans emploi,8000.0,Provence-Alpes-Côte d'Azur
INS_000019,Geneviève Pottier-Germain,1998-07-01,77,sans emploi,8900.0,Grand Est
INS_000020,Gabriel David,1996-02-12,32,commerçant,40800.0,Provence-Alpes-Côte d'Azur
INS_000021,Juliette François,1958-09-09,38,cadre,52500.0,Nouvelle-Aquitaine
